,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6
360,0.19018,0.13147,2.0061,2.8237,0.41885,0.23092
361,0.19018,1.2295,4.1318,0.71563,0.6612,3.4942
362,0.065425,1.2295,3.1601,0.71563,1.714,1.8427
363,0.065425,0.16842,4.1318,1.7757,1.1228,0.92793
364,4.9391,1.7086,2.5192,1.7757,1.714,1.4391
365,4.1762,1.7086,1.0065,0.27766,1.714,1.2528
366,4.1762,0.6682,1.0065,0.27766,0.85775,1.2528
367,2.5127,0.6682,2.5692,1.6448,0.85775,1.3246
368,2.5127,0.44016,0.14193,1.6448,0.77444,6.2635
369,2.4181,0.44016,0.14193,0.69551,0.081947,2.5187
370,0.6565,7.834,0.31626,0.69551,0.081947,2.5187
371,1.9459,1.7335,0.31626,0.79441,1.0299,6.8918
372,1.9459,1.0915,2.2059,0.79441,1.0299,2.1574
373,0.035605,0.06787,2.3723,0.52704,0.19898,3.2245
374,0.035605,0.06787,2.3723,4.6753,0.19898,3.2245
375,5.3584,2.99,0.67968,1.7574,4.4989,2.8166
376,5.0798,1.4954,0.67968,1.7574,0.39967,2.8166
377,2.7855,0.9716,0.25965,2.7132,0.39967,0.41377
378,1.7281,0.9716,0.25965,0.6422,6.3384,0.41377
379,1.7281,1.1058,1.3642,0.6422,1.5115,1.7119
380,1.8368,0.8188,4.5001,7.5171,1.5115,2.1111
381,0.94096,0.24006,4.5001,7.5171,1.3475,2.1111
382,0.94096,0.24006,0.17366,0.20552,1.3475,3.637
383,1.3075,3.0062,0.17366,0.20552,1.2278,3.7052
384,0.57454,1.6785,6.5044,6.2699,1.2278,0.27274
385,0.57454,0.04741,2.9386,2.2724,1.189,0.27274
386,6.1311,0.04741,2.9386,0.38045,0.3864,0.072581
387,2.0913,2.915,5.2603,0.38045,0.3864,7.8438
388,0.19846,0.52926,0.25572,0.87642,0.55589,0.75809
389,0.92027,0.52926,0.25572,0.7029,0.23886,4.9067
390,0.91886,2.5291,10.055,0.7029,0.23886,2.9902
391,5.3918,0.26798,0.46175,12.849,0.47808,2.9902
392,5.3918,0.26798,0.46175,0.20067,0.47808,0.0090834
393,1.4476,0.73204,1.0427,0.20067,1.9885,3.8175
394,1.4476,4.0871,1.0427,4.6758,1.9885,3.3921
395,1.716,4.0871,7.561,4.6758,0.55797,3.8209
396,5.9779,0.64955,7.561,0.9193,0.55797,4.0046
397,0.92445,0.64955,7.9131,0.9193,2.2135,4.0046
398,1.2934,0.24834,7.9131,0.10719,2.6323,2.3551
399,1.2934,0.24834,2.3004,0.10719,0.75055,2.604
400,0.6398,2.0661,2.3004,1.4176,0.75055,2.604
401,0.97956,0.52052,4.1185,2.1985,1.8966,0.57753
402,0.97956,0.52052,4.4547,2.1985,0.74017,2.8895
403,2.2149,1.3577,3.7214,2.28,0.74017,6.1493
404,3.4391,1.3577,4.4547,2.28,2.363,8.4746
405,1.7808,0.050954,4.4547,0.61963,2.363,4.8976
406,3.4391,0.050954,1.7208,0.61963,0.9018,3.5549
407,1.8541,0.3775,1.7208,6.7244,0.9018,6.3261
408,0.27519,0.3775,0.10551,6.7244,1.2277,6.3261
409,1.8541,2.7836,0.10551,1.2744,0.30382,0.014281
410,0.11571,2.7836,0.27746,0.3106,0.26005,0.014281
411,0.11571,2.291,0.31031,0.3106,0.26005,10.746
412,3.6916,2.291,0.086496,0.59264,0.21885,10.141
413,3.6916,5.2393,0.25189,0.59264,0.21885,0.062167
414,1.1654,0.54628,0.89075,6.196,1.4804,0.59915
415,1.1654,0.54628,0.23796,6.196,1.4804,0.59915
416,0.16862,0.48296,0.23796,1.5753,1.6679,1.1411
417,0.16862,0.48296,14.156,0.98407,0.13804,3.51
418,0.69047,3.7562,0.40683,0.98407,0.13804,1.0066
419,0.69047,3.0076,5.8186,2.5902,0.29853,3.6444
420,3.5783,0.80778,5.8186,2.5902,0.29853,1.2006
421,3.5783,0.7569,1.0411,9.9155,0.040304,1.2006
422,0.12135,0.65119,1.0411,2.7558,0.26659,2.4543
423,0.12135,0.47999,0.73236,2.2412,0.26659,2.4543
424,1.9788,0.37403,2.1658,0.77623,1.6697,3.6933
425,1.9788,0.37403,0.58483,0.77623,3.4062,3.0448
426,4.4263,0.95747,0.58483,6.9622,1.4644,3.0448
427,3.1871,0.58442,1.3475,6.9622,0.28891,0.2338
428,0.22045,0.58442,2.0377,15.299,0.28891,1.529
429,2.589,0.092089,2.0377,8.8986,5.4128,5.422
430,1.8645,0.092089,1.5281,3.5877,2.9938,0.92502
431,0.48224,0.038544,0.99115,4.7339,1.2842,0.92502
432,0.48224,0.038544,0.99115,5.3274,2.1743,0.37465
433,2.896,0.41322,0.67095,1.6453,1.4654,0.37465
